,PERSON_ID,DISPLAY_LAST_COMMA_FIRST,DISPLAY_FIRST_LAST,ROSTERSTATUS,FROM_YEAR,TO_YEAR,PLAYERCODE,PLAYER_SLUG,TEAM_ID,TEAM_CITY,TEAM_NAME,TEAM_ABBREVIATION,TEAM_CODE,TEAM_SLUG,GAMES_PLAYED_FLAG,OTHERLEAGUE_EXPERIENCE_CH
4014,202713,"Singler, Kyle",Kyle Singler,0,2012,2017,kyle_singler,kyle_singler,0,,,,,,Y,00
4015,201606,"Singletary, Sean",Sean Singletary,0,2008,2008,sean_singletary,sean_singletary,0,,,,,,Y,01
4016,202698,"Singleton, Chris",Chris Singleton,0,2011,2013,chris_singleton,chris_singleton,0,,,,,,Y,01
4017,101189,"Singleton, James",James Singleton,0,2005,2011,james_singleton,james_singleton,0,,,,,,Y,01
4018,78162,"Singleton, Mckinley",Mckinley Singleton,0,1986,1986,HISTADD_mckinley_singleton,mckinley_singleton,0,,,,,,Y,00
4019,78163,"Sinicola, Zeke",Zeke Sinicola,0,1951,1953,HISTADD_zeke_sinicola,zeke_sinicola,0,,,,,,Y,00
4020,1629686,"Sirvydis, Deividas",Deividas Sirvydis,0,2020,2021,deividas_sirvydis,deividas_sirvydis,0,,,,,,Y,11
4021,78164,"Sitton, Charlie",Charlie Sitton,0,1984,1984,HISTADD_charlie_sitton,charlie_sitton,0,,,,,,Y,00
4022,203491,"Siva, Peyton",Peyton Siva,0,2013,2013,peyton_siva,peyton_siva,0,,,,,,Y,01
4023,1631376,"Skapintsev, Dmytro",Dmytro Skapintsev,0,2023,2023,dmytro_skapintsev,dmytro_skapintsev,0,,,,,,N,11
4024,101,"Skiles, Scott",Scott Skiles,0,1986,1995,scott_skiles,scott_skiles,0,,,,,,Y,00
4025,78167,"Skinner, Al",Al Skinner,0,1976,1979,HISTADD_al_skinner,al_skinner,0,,,,,,Y,00
4026,1730,"Skinner, Brian",Brian Skinner,0,1998,2011,brian_skinner,brian_skinner,0,,,,,,Y,00
4027,78168,"Skinner, Talvin",Talvin Skinner,0,1974,1975,HISTADD_tab_skinner,talvin_skinner,0,,,,,,Y,00
4028,78169,"Skoog, Whitey",Whitey Skoog,0,1951,1956,HISTADD_whitey_skoog,whitey_skoog,0,,,,,,Y,00
4029,78170,"Slade, Jeff",Jeff Slade,0,1962,1962,HISTADD_jeff_slade,jeff_slade,0,,,,,,Y,00
4030,1073,"Slater, Reggie",Reggie Slater,0,1994,2002,reggie_slater,reggie_slater,0,,,,,,Y,00
4031,78171,"Slaughter, Jim",Jim Slaughter,0,1951,1951,HISTADD_jim_slaughter,jim_slaughter,0,,,,,,Y,00
4032,78172,"Slaughter, Jose",Jose Slaughter,0,1982,1982,HISTADD_jose_slaughter,jose_slaughter,0,,,,,,Y,00
4033,1641771,"Slawson, Jalen",Jalen Slawson,0,2023,2023,jalen_slawson,jalen_slawson,0,,,,,,N,00
4034,2447,"Slay, Tamar",Tamar Slay,0,2002,2004,tamar_slay,tamar_slay,0,,,,,,Y,01
4035,202388,"Sloan, Donald",Donald Sloan,0,2011,2015,donald_sloan,donald_sloan,0,,,,,,Y,01
4036,78173,"Sloan, Jerry",Jerry Sloan,0,1965,1975,HISTADD_jerry_sloan,jerry_sloan,0,,,,,,Y,00
4037,101166,"Slokar, Uros",Uros Slokar,0,2006,2006,uros_slokar,uros_slokar,0,,,,,,Y,00
4038,78174,"Sluby, Tom",Tom Sluby,0,1984,1984,HISTADD_tom_sluby,tom_sluby,0,,,,,,Y,00
4039,1629346,"Smailagic, Alen",Alen Smailagic,0,2019,2020,alen_smailagic,alen_smailagic,0,,,,,,Y,01
4040,1630606,"Smart, Javonte",Javonte Smart,0,2021,2023,javonte_smart,javonte_smart,0,,,,,,Y,11
4041,78175,"Smart, Keith",Keith Smart,0,1988,1988,HISTADD_keith_smart,keith_smart,0,,,,,,Y,00
4042,203935,"Smart, Marcus",Marcus Smart,1,2014,2023,marcus_smart,marcus_smart,1610612738,Boston,Celtics,BOS,celtics,celtics,Y,01
4043,78176,"Smawley, Belus",Belus Smawley,0,1946,1951,HISTADD_belus_smawley,belus_smawley,0,,,,,,Y,00
4044,78177,"Smiley, Jack",Jack Smiley,0,1948,1949,HISTADD_smiles_smiley,jack_smiley,0,,,,,,Y,00
4045,78178,"Smith, Adrian",Adrian Smith,0,1961,1970,HISTADD_odie_smith,adrian_smith,0,,,,,,Y,00
4046,78207,"Smith, Bill",Bill Smith,0,1971,1972,HISTADD_bill_smith,bill_smith,0,,,,,,Y,00
4047,78209,"Smith, Bill",Bill Smith,0,1961,1961,HISTADD_bill_f_smith,bill_smith,0,,,,,,Y,00
4048,78202,"Smith, Bingo",Bingo Smith,0,1969,1979,HISTADD_bingo_smith,bingo_smith,0,,,,,,Y,00
