Player,O_POSSESSIONS,O_RAPM_2021-23,D_POSSESSIONS,D_RAPM_2021-23,TOTAL_POSSESSIONS,RAPM_2021-23
Talen Horton-Tucker,5817,-1.35,5828,0.62,11645,-0.73
Devin Cannady,289,0.18,295,0.33,584,0.51
Vit Krejci,1737,-0.84,1732,-1.36,3469,-2.2
Ish Wainright,2580,0.55,2590,1.31,5170,1.86
Duane Washington Jr.,2776,-0.21,2733,-0.97,5509,-1.18
Anthony Davis,6862,-0.09,6856,3.22,13718,3.13
Luka Garza,1324,0.78,1316,-1.08,2640,-0.3
Javin DeLaurier,6,0.15,7,0.0,13,0.15
Josh Giddey,8337,-1.71,8307,-0.4,16644,-2.11
Georgios Kalaitzakis,426,-1.12,431,-1.43,857,-2.54
BJ Johnson,129,-0.11,125,-0.24,254,-0.35
Jericho Sims,2669,-0.65,2701,-0.04,5370,-0.69
Paul Millsap,761,-0.61,754,-0.09,1515,-0.7
Spencer Dinwiddie,9187,0.09,9226,0.19,18413,0.28
Jaden Springer,196,-0.07,196,-0.03,392,-0.1
Mamadi Diakite,697,-1.02,695,0.91,1392,-0.1
Jeff Green,5914,-1.5,5920,-0.99,11834,-2.49
Draymond Green,7548,0.96,7532,2.81,15080,3.77
Joel Ayayi,37,-0.16,34,0.15,71,-0.01
Dorian Finney-Smith,9002,0.62,9034,0.8,18036,1.42
Emmanuel Mudiay,23,-0.13,26,0.0,49,-0.13
Taurean Prince,4983,0.18,4980,-0.87,9963,-0.69
Robin Lopez,1836,-1.62,1820,0.18,3656,-1.44
Malcolm Hill,460,0.0,464,0.0,924,0.0
Davon Reed,2014,-1.08,2047,-0.07,4061,-1.15
Cassius Winston,67,-0.18,63,-0.28,130,-0.46
Jimmy Butler,7992,2.25,7984,-0.32,15976,1.93
Jeff Dowtin Jr.,718,-0.26,725,-0.62,1443,-0.88
Saddiq Bey,9907,0.52,9859,-1.71,19766,-1.19
Killian Hayes,7703,-2.66,7690,-0.87,15393,-3.53
Luka Doncic,9245,2.17,9250,-0.95,18495,1.22
Aaron Wiggins,5089,0.47,5182,-0.44,10271,0.02
Braxton Key,430,0.38,425,0.61,855,0.99
Derrick Walton Jr.,229,-0.46,229,0.67,458,0.21
Isaac Okoro,7088,0.88,7192,-0.51,14280,0.37
Obi Toppin,4552,0.89,4578,0.41,9130,1.3
Aaron Nesmith,4889,0.78,4926,-1.35,9815,-0.57
Arnoldas Kulboka,10,-0.14,12,-0.13,22,-0.27
Coby White,6854,2.0,6857,-0.77,13711,1.23
Eric Paschall,1458,-0.46,1455,-0.85,2913,-1.31
Joe Harris,3974,-1.45,3931,-0.9,7905,-2.35
Seth Curry,6635,-0.4,6588,-0.53,13223,-0.93
Jalen Suggs,5228,-1.78,5219,0.98,10447,-0.8
Derrick Rose,1967,-1.04,1958,1.25,3925,0.2
Robert Covington,5486,0.02,5487,1.5,10973,1.52
Eric Bledsoe,2741,-2.12,2751,1.52,5492,-0.6
Patrick Williams,5494,-0.25,5554,-0.76,11048,-1.01
Otto Porter Jr.,3104,-0.61,3072,1.43,6176,0.82
Zavier Simpson,342,-0.67,346,-1.03,688,-1.7
Cassius Stanley,313,-0.41,314,0.46,627,0.05
Jaylen Morris,35,0.05,32,0.11,67,0.16
Wes Iwundu,159,0.21,161,-0.16,320,0.04
Malachi Flynn,2442,-0.2,2445,-1.61,4887,-1.81
Klay Thompson,6731,0.87,6705,-0.98,13436,-0.1
Marcus Smart,8619,1.46,8609,0.66,17228,2.12
Trevor Ariza,927,-0.68,933,-0.03,1860,-0.71
Jared Butler,882,0.33,888,-1.03,1770,-0.7
Jarrett Allen,7876,0.45,7891,2.05,15767,2.5
Myles Turner,6199,1.34,6196,1.18,12395,2.52
Luke Kornet,1840,0.34,1850,-0.21,3690,0.13
Brook Lopez,5547,-0.01,5550,2.13,11097,2.12
Mitchell Robinson,6751,1.85,6780,0.17,13531,2.02
