Player,O_POSSESSIONS,O_RAPM_2022,D_POSSESSIONS,D_RAPM_2022,TOTAL_POSSESSIONS,RAPM_2022
Stanley Umude,4,0.06,4,0.02,8,0.08
Simone Fontecchio,1624,-1.63,1621,-1.81,3245,-3.44
Jalen Brunson,4738,2.53,4718,-1.47,9456,1.05
Cam Thomas,1931,0.06,1902,-0.37,3833,-0.31
Ousmane Dieng,1170,-0.19,1174,0.56,2344,0.37
Paolo Banchero,4935,-0.23,4929,-1.3,9864,-1.53
Bruno Fernando,811,-0.47,819,0.04,1630,-0.43
Oshae Brissett,2214,0.88,2220,0.4,4434,1.28
Eugene Omoruyi,1271,0.1,1271,-0.22,2542,-0.12
Chris Paul,3750,0.68,3737,0.14,7487,0.82
Jaxson Hayes,1241,-1.63,1254,0.29,2495,-1.34
Donovan Williams,8,0.08,9,0.1,17,0.18
Jalen Suggs,2567,-0.56,2547,0.18,5114,-0.38
Skylar Mays,404,-0.14,406,-0.82,810,-0.96
Johnny Juzang,491,-1.19,489,-0.43,980,-1.62
Lonnie Walker IV,2713,-1.68,2731,-1.68,5444,-3.36
Quentin Grimes,4213,1.5,4230,0.01,8443,1.51
Zach LaVine,5569,0.08,5569,0.66,11138,0.74
Deonte Burton,14,0.18,14,-0.05,28,0.13
Jeff Dowtin Jr.,498,0.1,506,-0.34,1004,-0.24
Deandre Ayton,4091,-0.85,4064,0.09,8155,-0.76
Svi Mykhailiuk,957,0.42,958,0.47,1915,0.88
Omer Yurtseven,172,0.36,167,-0.21,339,0.15
Michael Porter Jr.,3676,1.98,3642,0.17,7318,2.15
Kelly Oubre Jr.,3138,-1.07,3164,-0.62,6302,-1.69
Tyus Jones,3985,0.08,3978,-0.85,7963,-0.77
Markieff Morris,753,-0.17,760,0.16,1513,-0.01
Alex Caruso,3160,0.59,3155,2.51,6315,3.09
Justin Holiday,1478,-2.02,1490,-0.41,2968,-2.43
George Hill,1682,-0.74,1690,1.13,3372,0.38
Onyeka Okongwu,3798,0.54,3820,0.48,7618,1.02
Gordon Hayward,3252,-0.38,3255,1.48,6507,1.1
Ron Harper Jr.,94,0.16,91,0.12,185,0.28
Marcus Morris Sr.,3643,-0.5,3625,-0.17,7268,-0.67
James Bouknight,1058,-1.27,1075,0.17,2133,-1.1
Jaden Springer,185,-0.06,184,0.09,369,0.03
RaiQuan Gray,72,-0.07,72,-0.27,144,-0.34
Kenrich Williams,2447,0.56,2463,1.03,4910,1.59
Thaddeus Young,1579,-0.8,1589,-1.17,3168,-1.97
Bruce Brown,4571,-0.7,4563,-0.39,9134,-1.08
Gary Harris,2387,0.84,2392,-1.29,4779,-0.45
Ja Morant,4064,0.46,4058,1.35,8122,1.81
Bennedict Mathurin,4639,-0.45,4598,-0.73,9237,-1.18
Serge Ibaka,371,-0.82,360,0.04,731,-0.77
Kyle Anderson,4019,0.78,3992,0.17,8011,0.95
Nickeil Alexander-Walker,1825,-0.44,1826,0.0,3651,-0.44
Jeff Green,2192,-1.93,2196,-0.97,4388,-2.9
Nick Richards,2476,-0.33,2482,-0.07,4958,-0.4
